,task,method,metric,weights_type,ablation_type,plot_type,auc,n_points,test_kl_div,test_kl_div_max,test_kl_div_min,test_loss,test_loss_max,test_loss_min
0,ioi,HISP,kl_div,trained,random_ablation,roc_nodes,0.33935365913920046,447,4.355554636028661,4.759271621704102,2.2848002600994732e-08,4.355554636028661,4.759271621704102,2.2848002600994732e-08
1,ioi,SP,kl_div,trained,random_ablation,roc_nodes,0.8522878885210258,34,0.9377043999862509,2.843967854976654,0.05737257748842241,0.9377043999862509,2.843967854976654,0.05737257748842241
2,ioi,ACDC,kl_div,trained,random_ablation,roc_nodes,0.9988016998566982,36,4.367979537038242,4.7592549324035645,0.5387181043624878,4.367979537038242,4.7592549324035645,0.5387181043624878
3,tracr-reverse,HISP,l2,trained,random_ablation,roc_nodes,0.75,19,0.02856273510876824,0.24278324842453003,0.0,0.0697166919708252,0.5925918817520142,0.0
4,tracr-reverse,SP,l2,trained,random_ablation,roc_nodes,0.5328947368421053,13,0.0015427560037179237,0.006125696562230587,0.0,0.0038583355763793484,0.015247320383787155,0.0
5,tracr-reverse,ACDC,l2,trained,random_ablation,roc_nodes,0.3125,44,0.0,0.0,0.0,2.1864021086042942e-26,2.1864021086042942e-26,2.1864021086042942e-26
6,tracr-proportion,HISP,l2,trained,random_ablation,roc_nodes,0.9090909090909091,11,0.0110641417817937,0.024536525830626488,0.0,0.12786007755332524,0.25870367884635925,0.0
7,tracr-proportion,SP,l2,trained,random_ablation,roc_nodes,0.7159090909090909,13,0.0006993728207473541,0.001289712589641567,6.391236106253472e-05,0.007172954352646147,0.014632327825529501,0.0006846449986824155
8,tracr-proportion,ACDC,l2,trained,random_ablation,roc_nodes,0.7272727272727273,23,0.0015255942843017678,0.00640749791637063,-6.007197517199359e-10,0.009126984292552622,0.038333334028720856,4.7882550823881434e-17
9,docstring,HISP,kl_div,trained,random_ablation,roc_nodes,0.1846268378931695,103,2.7708146080253644,3.2488043308258057,8.276665575124298e-09,2.7708146080253644,3.2488043308258057,8.276665575124298e-09
10,docstring,SP,kl_div,trained,random_ablation,roc_nodes,0.959426763446864,34,0.9404368786985289,3.245720016956329,0.16261216718703508,0.9404368786985289,3.245720016956329,0.16261216718703508
11,docstring,ACDC,kl_div,trained,random_ablation,roc_nodes,0.9966499162479062,20,1.9017857942316267,3.246649742126465,0.4797767400741577,1.9017857942316267,3.246649742126465,0.4797767400741577
12,greaterthan,HISP,kl_div,trained,random_ablation,roc_nodes,0.4074426271078991,447,1.992565199437504,2.037882089614868,1.3888289629448991e-08,1.992565199437504,2.037882089614868,1.3888289629448991e-08
13,greaterthan,SP,kl_div,trained,random_ablation,roc_nodes,0.8567896538607837,34,0.6128822209793725,2.0361286163330083,0.023204899998381733,0.6128822209793725,2.0361286163330083,0.023204899998381733
14,greaterthan,ACDC,kl_div,trained,random_ablation,roc_nodes,0.8312729808545708,21,0.6528240277578956,2.035830020904541,0.01506062038242817,0.6528240277578956,2.035830020904541,0.01506062038242817
0,ioi,HISP,kl_div,trained,random_ablation,roc_edges,0.2252457667577147,447,4.355554636028661,4.759271621704102,2.2848002600994732e-08,4.355554636028661,4.759271621704102,2.2848002600994732e-08
1,ioi,SP,kl_div,trained,random_ablation,roc_edges,0.8759648064692196,34,0.9377043999862509,2.843967854976654,0.05737257748842241,0.9377043999862509,2.843967854976654,0.05737257748842241
2,ioi,ACDC,kl_div,trained,random_ablation,roc_edges,0.9999683385892204,36,4.367979537038242,4.7592549324035645,0.5387181043624878,4.367979537038242,4.7592549324035645,0.5387181043624878
3,tracr-reverse,HISP,l2,trained,random_ablation,roc_edges,0.5772893772893772,19,0.02856273510876824,0.24278324842453003,0.0,0.0697166919708252,0.5925918817520142,0.0
4,tracr-reverse,SP,l2,trained,random_ablation,roc_edges,0.17802197802197803,13,0.0015427560037179237,0.006125696562230587,0.0,0.0038583355763793484,0.015247320383787155,0.0
5,tracr-reverse,ACDC,l2,trained,random_ablation,roc_edges,0.2,44,0.0,0.0,0.0,2.1864021086042942e-26,2.1864021086042942e-26,2.1864021086042942e-26
6,tracr-proportion,HISP,l2,trained,random_ablation,roc_edges,0.6785714285714286,11,0.0110641417817937,0.024536525830626488,0.0,0.12786007755332524,0.25870367884635925,0.0
7,tracr-proportion,SP,l2,trained,random_ablation,roc_edges,0.5,13,0.0006993728207473541,0.001289712589641567,6.391236106253472e-05,0.007172954352646147,0.014632327825529501,0.0006846449986824155
8,tracr-proportion,ACDC,l2,trained,random_ablation,roc_edges,0.5928571428571429,23,0.0015255942843017678,0.00640749791637063,-6.007197517199359e-10,0.009126984292552622,0.038333334028720856,4.7882550823881434e-17
9,docstring,HISP,kl_div,trained,random_ablation,roc_edges,0.14742603550295857,103,2.7708146080253644,3.2488043308258057,8.276665575124298e-09,2.7708146080253644,3.2488043308258057,8.276665575124298e-09
10,docstring,SP,kl_div,trained,random_ablation,roc_edges,0.9706213017751479,34,0.9404368786985289,3.245720016956329,0.16261216718703508,0.9404368786985289,3.245720016956329,0.16261216718703508
11,docstring,ACDC,kl_div,trained,random_ablation,roc_edges,0.9977218934911243,20,1.9017857942316267,3.246649742126465,0.4797767400741577,1.9017857942316267,3.246649742126465,0.4797767400741577
12,greaterthan,HISP,kl_div,trained,random_ablation,roc_edges,0.24531743865495648,447,1.992565199437504,2.037882089614868,1.3888289629448991e-08,1.992565199437504,2.037882089614868,1.3888289629448991e-08
13,greaterthan,SP,kl_div,trained,random_ablation,roc_edges,0.8535457397354806,34,0.6128822209793725,2.0361286163330083,0.023204899998381733,0.6128822209793725,2.0361286163330083,0.023204899998381733
14,greaterthan,ACDC,kl_div,trained,random_ablation,roc_edges,0.5953316115631223,21,0.6528240277578956,2.035830020904541,0.01506062038242817,0.6528240277578956,2.035830020904541,0.01506062038242817
0,induction,HISP,kl_div,trained,random_ablation,induction_kl_edges,,51,7.088411355634945,11.169137954711914,6.358249926563531e-09,7.088411355634945,11.169137954711914,6.358249926563531e-09
1,induction,SP,kl_div,trained,random_ablation,induction_kl_edges,,35,2.31724963717042,11.036352634429932,0.024557971954345705,2.31724963717042,11.036352634429932,0.024557971954345705
2,induction,ACDC,kl_div,trained,random_ablation,induction_kl_edges,,23,1.8549108617894707,11.400954246520996,0.0021128542721271515,1.8549108617894707,11.400954246520996,0.0021128542721271515
0,ioi,HISP,kl_div,reset,random_ablation,roc_nodes,0.47001161239314126,447,10.409607608666581,10.415424346923828,10.326383590698242,10.409607608666581,10.415424346923828,10.326383590698242
1,ioi,SP,kl_div,reset,random_ablation,roc_nodes,0.39292508771062906,7,10.283089570999145,10.413275814056396,10.205925703048706,10.283089570999145,10.413275814056396,10.205925703048706
2,ioi,ACDC,kl_div,reset,random_ablation,roc_nodes,0.7342738548203785,39,10.40128875423122,10.413925170898438,10.27504825592041,10.40128875423122,10.413925170898438,10.27504825592041
3,tracr-reverse,HISP,l2,reset,random_ablation,roc_nodes,0.75,19,0.09246327728033066,0.09246327728033066,0.09246327728033066,0.33333295583724976,0.33333295583724976,0.33333295583724976
4,tracr-reverse,SP,l2,reset,random_ablation,roc_nodes,0.35526315789473684,13,0.09246327728033066,0.09246327728033066,0.09246327728033066,0.33333295583724976,0.33333295583724976,0.33333295583724976
5,tracr-reverse,ACDC,l2,reset,random_ablation,roc_nodes,0.0,44,0.09246327728033066,0.09246327728033066,0.09246327728033066,0.33333295583724976,0.33333295583724976,0.33333295583724976
6,tracr-proportion,HISP,l2,reset,random_ablation,roc_nodes,0.9090909090909091,11,0.0073257070034742355,0.0073257070034742355,0.0073257070034742355,0.08833333104848862,0.08833333104848862,0.08833333104848862
7,tracr-proportion,SP,l2,reset,random_ablation,roc_nodes,0.5568181818181818,24,0.012259642127901316,0.017273753881454468,0.007737954147160055,0.14629629762335258,0.19888889789581302,0.09481482207775116
8,tracr-proportion,ACDC,l2,reset,random_ablation,roc_nodes,0.0,23,0.010016628541052341,0.010016628541052341,0.010016628541052341,0.11851852387189865,0.11851852387189865,0.11851852387189865
