,task,method,metric,weights_type,ablation_type,plot_type,auc,n_points,test_kl_div,test_kl_div_max,test_kl_div_min,test_loss,test_loss_max,test_loss_min
0,induction,HISP,kl_div,trained,random_ablation,induction_kl_edges,,51,7.088411355634945,11.169137954711914,6.358249926563531e-09,7.088411355634945,11.169137954711914,6.358249926563531e-09
1,induction,SP,kl_div,trained,random_ablation,induction_kl_edges,,35,2.31724963717042,11.036352634429932,0.024557971954345705,2.31724963717042,11.036352634429932,0.024557971954345705
2,induction,ACDC,kl_div,trained,random_ablation,induction_kl_edges,,23,1.8549391952498506,11.401124000549316,0.00211280956864357,1.8549391952498506,11.401124000549316,0.00211280956864357
3,induction,PIG,kl_div,trained,random_ablation,induction_kl_edges,,51,3.5619007745111477,11.169258117675781,0.0,3.5619007745111477,11.169258117675781,0.0
0,ioi,HISP,kl_div,trained,random_ablation,roc_nodes,0.33935365913920046,447,4.355554636028661,4.759271621704102,2.2848002600994732e-08,4.355554636028661,4.759271621704102,2.2848002600994732e-08
1,tracr-reverse,HISP,l2,trained,random_ablation,roc_nodes,0.75,19,0.02856273510876824,0.24278324842453003,0.0,0.0697166919708252,0.5925918817520142,0.0
2,tracr-proportion,HISP,l2,trained,random_ablation,roc_nodes,0.9090909090909091,11,0.0110641417817937,0.024536525830626488,0.0,0.12786007755332524,0.25870367884635925,0.0
3,docstring,HISP,kl_div,trained,random_ablation,roc_nodes,0.17830882352941174,103,2.7708146080253644,3.2488043308258057,8.276665575124298e-09,2.7708146080253644,3.2488043308258057,8.276665575124298e-09
4,greaterthan,HISP,kl_div,trained,random_ablation,roc_nodes,0.3842781557067271,447,1.992565199437504,2.037882089614868,1.3888289629448991e-08,1.992565199437504,2.037882089614868,1.3888289629448991e-08
5,ioi,SP,kl_div,trained,random_ablation,roc_nodes,0.8522878885210258,34,0.9377043999862509,2.843967854976654,0.05737257748842241,0.9377043999862509,2.843967854976654,0.05737257748842241
6,tracr-reverse,SP,l2,trained,random_ablation,roc_nodes,0.5328947368421053,13,0.0015427560037179237,0.006125696562230587,0.0,0.0038583355763793484,0.015247320383787155,0.0
7,tracr-proportion,SP,l2,trained,random_ablation,roc_nodes,0.7159090909090909,13,0.0006993728207473541,0.001289712589641567,6.391236106253472e-05,0.007172954352646147,0.014632327825529501,0.0006846449986824155
8,docstring,SP,kl_div,trained,random_ablation,roc_nodes,0.9278492647058824,34,0.9404368786985289,3.245720016956329,0.16261216718703508,0.9404368786985289,3.245720016956329,0.16261216718703508
9,greaterthan,SP,kl_div,trained,random_ablation,roc_nodes,0.8377654091939806,34,0.6128822209793725,2.0361286163330083,0.023204899998381733,0.6128822209793725,2.0361286163330083,0.023204899998381733
10,ioi,ACDC,kl_div,trained,random_ablation,roc_nodes,0.8729925384197262,32,1.1771907962315404,4.759255409240723,0.0021870937198400497,1.1771907962315404,4.759255409240723,0.0021870937198400497
11,tracr-reverse,ACDC,l2,trained,random_ablation,roc_nodes,0.3125,21,0.006638604681938887,0.21243534982204437,0.0,0.016203684732317924,0.5185179114341736,2.1864021086042942e-26
12,tracr-proportion,ACDC,l2,trained,random_ablation,roc_nodes,0.7272727272727273,14,-6.007197517199359e-10,-6.007197517199359e-10,-6.007197517199359e-10,4.7882550823881434e-17,4.7882550823881434e-17,4.7882550823881434e-17
13,docstring,ACDC,kl_div,trained,random_ablation,roc_nodes,0.39139093137254904,30,2.3858776624713625,3.3102173805236816,0.4797833561897278,2.3858776624713625,3.3102173805236816,0.4797833561897278
14,greaterthan,ACDC,kl_div,trained,random_ablation,roc_nodes,0.8902631759774617,31,0.4296817784117342,2.035829782485962,0.001398508669808507,0.4296817784117342,2.035829782485962,0.001398508669808507
15,ioi,PIG,kl_div,trained,random_ablation,roc_nodes,0.531242278993922,447,1.7875780905579988,4.759342193603516,0.0,1.7875780905579988,4.759342193603516,0.0
16,tracr-reverse,PIG,l2,trained,random_ablation,roc_nodes,0.5855263157894737,19,0.037488591145066655,0.21243534982204437,0.0,0.09150316084132475,0.5185179114341736,0.0
17,tracr-proportion,PIG,l2,trained,random_ablation,roc_nodes,1.0,11,0.007013407432370716,0.024300090968608856,0.0,0.08199588788880242,0.2720370292663574,0.0
18,docstring,PIG,kl_div,trained,random_ablation,roc_nodes,0.6173406862745099,99,1.3567616838179337,3.2468008995056152,0.0,1.3567616838179337,3.2468008995056152,0.0
19,greaterthan,PIG,kl_div,trained,random_ablation,roc_nodes,0.5701642273070845,447,0.6682903747961972,2.046536922454834,0.0,0.6682903747961972,2.046536922454834,0.0
0,ioi,HISP,kl_div,trained,random_ablation,roc_edges,0.23948980694360408,447,4.355554636028661,4.759271621704102,2.2848002600994732e-08,4.355554636028661,4.759271621704102,2.2848002600994732e-08
1,tracr-reverse,HISP,l2,trained,random_ablation,roc_edges,0.6564102564102563,19,0.02856273510876824,0.24278324842453003,0.0,0.0697166919708252,0.5925918817520142,0.0
2,tracr-proportion,HISP,l2,trained,random_ablation,roc_edges,0.6785714285714286,11,0.0110641417817937,0.024536525830626488,0.0,0.12786007755332524,0.25870367884635925,0.0
3,docstring,HISP,kl_div,trained,random_ablation,roc_edges,0.18342073416700286,103,2.7708146080253644,3.2488043308258057,8.276665575124298e-09,2.7708146080253644,3.2488043308258057,8.276665575124298e-09
4,greaterthan,HISP,kl_div,trained,random_ablation,roc_edges,0.27905845639370536,447,1.992565199437504,2.037882089614868,1.3888289629448991e-08,1.992565199437504,2.037882089614868,1.3888289629448991e-08
5,ioi,SP,kl_div,trained,random_ablation,roc_edges,0.8882758473986178,34,0.9377043999862509,2.843967854976654,0.05737257748842241,0.9377043999862509,2.843967854976654,0.05737257748842241
6,tracr-reverse,SP,l2,trained,random_ablation,roc_edges,0.41611721611721614,13,0.0015427560037179237,0.006125696562230587,0.0,0.0038583355763793484,0.015247320383787155,0.0
7,tracr-proportion,SP,l2,trained,random_ablation,roc_edges,0.39999999999999997,13,0.0006993728207473541,0.001289712589641567,6.391236106253472e-05,0.007172954352646147,0.014632327825529501,0.0006846449986824155
